,Id,Price,Bedrooms,Living_Area,Is_Equiped_Kitchen,Terrace,Garden,State,Facades,Locality_encoded,Type_encoded,SubType_encoded,Prov_encoded,Region_encoded,Is_On_Coast,GDP,Avg_rent,Avg price,Bedrooms_per_area
57,20315506,570000,5,308,1,1,1,1,2,682,1,0,2,0,0,51731,1013.0,2841,0.016233766233766232
58,20315504,698000,3,282,1,1,0,3,4,4,1,0,2,0,0,51731,1013.0,2841,0.010638297872340425
59,20315503,670000,4,180,0,0,1,4,2,743,1,0,6,2,0,90459,1205.0,3323,0.022222222222222223
60,20315502,619000,3,155,1,1,0,3,0,743,0,3,6,2,0,90459,1205.0,3323,0.01935483870967742
61,20315501,359900,2,108,0,1,0,3,2,61,0,6,2,0,0,51731,1013.0,2841,0.018518518518518517
62,20315500,325000,2,89,0,1,1,3,2,61,0,7,2,0,0,51731,1013.0,2841,0.02247191011235955
63,20315499,317500,2,89,0,1,1,3,2,61,0,7,2,0,0,51731,1013.0,2841,0.02247191011235955
64,20315498,310500,2,86,0,1,0,3,2,61,0,3,2,0,0,51731,1013.0,2841,0.023255813953488372
65,20315497,268800,1,77,1,1,1,3,2,61,0,7,2,0,0,51731,1013.0,2841,0.012987012987012988
66,20315496,345000,2,97,0,1,0,3,2,61,0,3,2,0,0,51731,1013.0,2841,0.020618556701030927
67,20315495,315000,2,86,0,1,1,3,2,61,0,7,2,0,0,51731,1013.0,2841,0.023255813953488372
68,20315490,695000,8,437,1,1,1,5,4,97,1,0,9,1,0,21155,1013.0,2729,0.018306636155606407
69,20315488,690000,4,270,1,0,0,1,4,130,1,0,3,0,0,98189,1000.0,2577,0.014814814814814815
70,20315487,385000,3,156,1,1,0,1,2,526,0,3,2,0,0,51731,1013.0,2841,0.019230769230769232
71,20315483,242000,1,60,1,0,0,1,2,400,0,3,0,0,0,62123,950.0,2546,0.016666666666666666
72,20315481,229000,4,136,1,1,1,3,3,704,1,0,0,0,0,62123,950.0,2546,0.029411764705882353
73,20315479,311500,2,86,1,1,1,2,4,522,0,3,3,0,0,98189,1000.0,2577,0.023255813953488372
74,20315478,550000,3,128,1,1,0,2,4,522,0,3,3,0,0,98189,1000.0,2577,0.0234375
75,20315477,257500,1,61,1,1,0,2,4,522,0,3,3,0,0,98189,1000.0,2577,0.01639344262295082
76,20315475,343500,2,95,1,1,0,2,4,522,0,3,3,0,0,98189,1000.0,2577,0.021052631578947368
77,20315474,215500,1,57,1,1,0,2,4,522,0,3,3,0,0,98189,1000.0,2577,0.017543859649122806
78,20315473,378500,3,107,1,1,0,2,4,522,0,3,3,0,0,98189,1000.0,2577,0.028037383177570093
79,20315471,725000,3,170,1,1,0,3,4,719,0,8,6,2,0,90459,1205.0,3323,0.01764705882352941
80,20315469,395000,3,138,1,1,0,3,0,223,0,8,7,1,0,7887,759.0,1985,0.021739130434782608
81,20315457,310000,2,150,1,1,1,2,3,11,1,0,8,1,0,14697,759.0,2084,0.013333333333333334
82,20315455,479000,3,134,1,1,1,1,4,652,1,0,9,1,0,21155,1013.0,2729,0.022388059701492536
83,20315415,139000,3,104,1,0,0,5,2,517,1,0,1,1,0,36940,759.0,1618,0.028846153846153848
84,20315395,175000,2,102,0,1,0,1,0,396,1,0,5,0,0,52323,950.0,2888,0.0196078431372549
85,20315297,885000,6,450,1,1,0,3,4,685,1,1,1,1,0,36940,759.0,1618,0.013333333333333334
86,20315287,279000,2,95,0,0,0,1,0,536,0,3,6,2,0,90459,1205.0,3323,0.021052631578947368
87,20315257,249000,2,98,1,0,0,6,2,166,0,3,0,0,0,62123,950.0,2546,0.02040816326530612
88,20315256,215000,2,77,1,1,0,1,2,180,0,3,5,0,1,52323,950.0,2888,0.025974025974025976
89,20315236,269000,3,136,1,1,0,4,2,391,1,0,6,2,0,90459,1205.0,3323,0.022058823529411766
