,Id,Price,Bedrooms,Living_Area,Is_Equiped_Kitchen,Terrace,Garden,State,Facades,Locality_encoded,Type_encoded,SubType_encoded,Prov_encoded,Region_encoded
94,20315210,260000,3,157,0,1,0,4,2,287,1,0,5,0
95,20315208,259000,4,143,0,1,0,1,4,597,1,0,0,0
96,20315205,245000,3,145,1,1,0,1,3,700,1,0,2,0
97,20315199,635000,4,201,0,1,0,1,3,66,1,0,0,0
98,20315198,495000,4,211,0,1,0,1,3,66,1,0,0,0
99,20315197,945000,4,217,0,1,0,3,4,66,1,1,0,0
100,20315195,365000,3,126,0,1,0,3,0,16,0,3,0,0
101,20315189,899000,4,553,0,1,0,5,4,305,1,1,0,0
102,20315181,845000,5,292,0,1,0,4,4,742,1,1,0,0
103,20315180,975000,3,241,0,1,0,1,4,742,1,1,0,0
104,20315178,100000,2,110,0,1,0,4,2,690,1,0,1,1
105,20315176,419000,3,160,1,0,0,1,4,414,1,0,0,0
106,20315168,865000,3,195,1,1,0,4,3,346,0,8,6,2
107,20315166,819000,6,312,1,1,1,1,4,372,1,4,10,1
108,20315158,429000,4,178,1,0,0,1,0,563,1,0,4,0
109,20315154,110000,2,112,0,0,0,2,2,228,1,0,10,1
110,20315153,138000,1,50,1,0,0,5,2,787,0,3,2,0
111,20315149,239000,2,95,0,0,0,1,2,552,0,8,6,2
112,20315115,425000,4,268,1,0,0,3,3,556,1,0,5,0
113,20314990,255000,3,88,0,1,0,3,0,793,0,3,3,0
114,20314985,235000,0,41,0,0,0,1,0,400,0,5,0,0
115,20314968,189000,2,205,0,1,0,1,3,474,1,0,0,0
116,20314941,319000,3,132,1,1,1,1,4,246,1,0,1,1
117,20314938,375000,3,200,0,0,0,4,3,240,1,0,3,0
118,20314936,339000,4,175,1,1,0,5,4,306,1,0,3,0
119,20314933,395000,3,150,1,1,1,1,3,170,1,0,9,1
120,20314932,199900,1,123,1,1,0,3,3,12,0,6,1,1
121,20314931,199900,1,123,1,1,0,3,3,12,1,0,1,1
122,20314876,230000,3,178,0,0,0,1,3,108,1,0,1,1
123,20314875,179000,2,97,1,1,1,5,2,318,0,3,9,1
124,20314871,179000,2,97,1,1,1,5,2,351,0,3,9,1
125,20314868,249000,2,150,1,1,0,2,3,30,1,0,1,1
126,20314867,319000,3,123,0,0,0,2,0,529,1,0,0,0
127,20314861,729000,4,222,1,1,0,2,0,197,1,0,3,0
128,20314859,232000,1,71,1,0,0,6,0,400,0,3,0,0
129,20314855,215000,3,100,0,0,0,1,0,358,0,3,0,0
130,20314852,309000,4,232,1,1,1,6,2,704,1,9,0,0
131,20314842,250950,3,144,0,1,0,3,2,229,1,0,5,0
132,20314840,189000,5,300,1,1,0,4,0,704,1,0,0,0
133,20314839,229000,3,90,1,1,0,6,0,165,0,3,5,0
134,20314838,349000,3,114,0,1,0,1,0,447,0,3,5,0
135,20314832,445126,2,136,0,1,0,2,0,302,0,3,5,0
136,20314825,795000,2,123,0,1,0,3,0,232,1,0,5,0
137,20314823,925000,3,185,1,1,1,1,4,232,1,0,5,0
138,20314822,495000,4,192,1,1,1,1,4,246,1,1,1,1
139,20314821,559000,4,157,1,1,0,3,3,156,1,0,2,0
140,20314820,599000,4,202,0,1,1,5,2,682,1,0,2,0
141,20314819,769000,3,142,1,0,0,5,2,32,1,2,6,2
142,20314818,120000,2,105,0,0,1,4,3,85,1,0,10,1
143,20314816,365000,3,110,1,1,0,1,2,743,0,3,6,2
144,20314699,335310,2,113,0,1,0,2,0,471,0,3,3,0
145,20314698,349065,2,117,0,1,0,2,0,471,0,3,3,0
146,20314697,499630,3,93,0,1,0,2,0,471,0,3,3,0
147,20314696,301160,1,93,0,1,0,2,0,471,0,3,3,0
148,20314674,250000,3,129,1,0,0,1,0,232,1,0,5,0
149,20314629,380000,2,99,1,1,0,1,0,16,0,3,0,0
150,20314627,400000,3,111,1,1,0,1,0,16,0,3,0,0
151,20314624,370000,2,100,1,1,0,1,0,16,0,3,0,0
152,20314623,390000,2,96,1,1,0,1,0,16,0,3,0,0
153,20314622,355000,2,91,1,1,0,1,0,16,0,3,0,0
154,20314620,365000,3,101,1,1,0,1,0,16,0,3,0,0
155,20314618,355000,3,101,1,1,0,1,0,16,0,3,0,0
156,20314560,345000,2,90,0,1,0,2,0,32,0,3,6,2
157,20314504,299000,2,93,1,1,0,2,3,466,0,3,3,0
158,20314476,189000,5,199,1,0,0,1,4,190,1,0,5,0
159,20314473,230000,2,86,1,0,0,1,2,477,1,2,10,1
160,20314472,317000,3,88,0,1,0,3,4,551,0,3,10,1
161,20314470,329000,2,91,0,0,0,2,2,62,0,7,5,0
162,20314469,329000,2,91,0,0,0,2,2,62,0,7,5,0
163,20314467,245000,2,94,1,1,0,1,2,306,0,3,3,0
164,20314465,214000,2,70,1,0,0,1,0,203,0,3,3,0
165,20314462,399000,3,133,1,0,0,2,3,20,1,0,8,1
166,20314461,360000,3,178,1,0,0,2,0,20,1,0,8,1
167,20314460,354000,4,167,1,0,0,2,0,20,1,0,8,1
168,20314442,465000,2,121,1,1,0,5,4,724,1,0,3,0
169,20314428,430000,4,227,0,1,0,5,4,588,1,0,5,0
170,20314422,875000,8,298,0,0,0,2,2,400,0,10,0,0
171,20314419,255000,1,55,0,0,0,1,2,44,0,3,3,0
172,20314418,219000,2,90,0,1,0,2,0,44,0,3,3,0
173,20314416,387000,2,99,0,0,0,4,4,218,1,0,5,0
174,20314415,439000,3,132,1,1,0,1,4,14,0,3,5,0
175,20314409,95000,2,51,0,1,0,2,4,421,1,0,1,1
176,20314407,495000,3,120,0,0,0,3,3,107,1,0,0,0
177,20314406,349000,3,309,0,0,1,3,3,2,1,0,4,0
178,20314400,339000,0,123,0,0,0,4,0,232,0,10,5,0
179,20314399,339000,2,123,0,1,0,4,4,232,1,0,5,0
180,20314398,190000,2,86,0,0,0,5,3,791,0,3,3,0
181,20314394,185000,3,200,0,1,0,4,3,212,1,0,1,1
182,20314390,399000,0,40,0,0,0,1,0,535,0,3,5,0
183,20314389,895000,2,131,0,0,0,1,0,535,0,6,5,0
184,20314388,395000,3,148,1,1,0,2,3,319,1,0,8,1
185,20314387,250000,3,170,0,1,0,3,3,717,1,11,1,1
186,20314384,249000,3,161,0,1,0,1,0,178,1,0,3,0
187,20314382,355000,2,91,1,1,0,1,0,16,0,3,0,0
188,20314380,249000,5,162,0,1,0,1,0,178,1,0,3,0
189,20314379,219000,2,85,1,1,0,6,0,44,0,3,3,0
190,20314375,235000,1,57,1,1,0,1,0,400,0,3,0,0
191,20314374,379000,3,150,0,1,0,1,3,759,1,0,3,0
192,20314373,439000,4,239,1,1,0,6,0,650,1,0,5,0
193,20314371,879500,4,407,1,1,0,2,4,651,1,0,2,0
194,20314369,274900,2,87,1,1,0,2,0,2,0,3,4,0
195,20314366,80000,2,90,1,0,0,5,2,420,1,0,1,1
196,20314360,390000,2,96,1,1,0,1,0,16,0,3,0,0
197,20314357,160000,4,171,1,0,1,1,3,493,1,0,1,1
198,20314291,355000,3,101,1,1,0,1,0,16,0,3,0,0
199,20314290,365000,3,101,1,1,0,1,0,16,0,3,0,0
200,20314284,400000,3,111,1,1,0,1,0,400,0,3,0,0
201,20314270,300000,4,307,1,0,1,4,2,604,1,0,0,0
202,20314220,89000,1,32,0,0,0,3,0,291,0,3,5,0
203,20314115,169900,1,75,0,0,0,3,0,728,0,3,5,0
204,20314064,370000,2,100,1,1,0,1,0,16,0,3,0,0
205,20314063,87000,1,32,0,0,0,3,0,291,0,7,5,0
206,20313980,269000,3,133,0,0,0,1,0,649,1,0,0,0
207,20313972,349000,3,231,0,0,0,2,3,294,1,0,5,0
208,20313971,259000,3,146,0,0,0,2,2,544,1,0,5,0
209,20313968,415000,2,72,0,1,0,1,0,291,0,7,5,0
210,20313967,175000,2,123,0,0,0,1,3,785,0,3,10,1
211,20313957,245000,4,125,0,1,0,4,4,279,1,0,9,1
212,20313954,980000,3,867,0,0,0,1,4,250,1,0,10,1
213,20313949,200000,4,218,1,1,0,5,2,40,1,0,8,1
214,20313948,287000,3,123,0,0,0,5,0,449,1,0,7,1
215,20313933,240000,2,58,1,1,0,1,4,104,1,0,7,1
216,20313932,379000,2,84,1,1,0,3,0,44,0,3,3,0
217,20313919,589000,3,200,0,1,1,2,3,427,1,0,2,0
218,20313918,989000,4,288,1,1,1,3,2,735,0,10,6,2
219,20313915,625000,4,250,1,1,0,5,4,521,1,0,2,0
220,20313913,497969,3,203,0,0,0,2,3,287,1,0,5,0
221,20313905,199000,3,165,0,0,0,1,3,39,1,0,10,1
222,20313901,339000,3,123,1,1,0,5,4,131,1,0,8,1
223,20313900,219900,2,74,0,0,1,2,4,592,1,0,1,1
224,20313895,949000,4,280,1,1,1,1,4,598,1,1,3,0
225,20313891,599000,5,376,0,1,0,1,4,586,1,0,4,0
226,20313886,199000,2,155,1,1,1,1,2,228,1,0,10,1
227,20313885,625000,4,180,1,1,0,3,4,568,1,1,2,0
228,20313883,199900,2,70,1,1,0,3,3,536,0,3,6,2
229,20313882,215000,2,93,1,1,0,2,2,615,0,3,3,0
230,20313881,210000,2,93,1,1,0,2,2,615,0,3,3,0
231,20313880,349000,3,114,0,1,1,1,3,447,0,7,5,0
232,20313878,309000,4,147,1,1,0,2,3,597,1,0,0,0
233,20313877,329000,3,89,0,1,0,1,2,118,0,3,0,0
234,20313875,649000,3,315,0,1,0,2,3,583,1,0,3,0
235,20313873,150000,2,80,1,1,0,1,2,628,0,3,1,1
236,20313871,145000,2,97,0,0,0,2,3,643,1,0,1,1
237,20313868,575000,5,392,0,1,0,5,4,366,1,1,10,1
238,20313864,395000,2,95,1,1,0,1,2,234,0,3,6,2
239,20313863,289000,3,165,1,1,1,1,3,254,1,0,1,1
240,20313861,250000,3,230,1,1,0,4,4,50,1,0,9,1
241,20313826,239000,2,69,1,1,0,1,0,234,0,3,6,2
242,20313728,265000,1,65,0,1,0,1,2,44,0,3,3,0
243,20313723,450000,3,123,0,1,0,3,3,400,1,0,0,0
244,20313722,169000,2,70,0,1,0,1,0,358,0,3,0,0
245,20313685,239000,2,100,0,1,0,3,0,330,0,3,3,0
246,20313671,859000,4,232,1,1,0,2,2,44,0,3,3,0
247,20313670,285000,4,143,1,1,0,1,3,319,1,2,8,1
248,20313669,349000,1,64,1,1,0,1,0,44,0,3,3,0
249,20313668,435000,3,215,0,1,0,1,4,146,1,0,2,0
250,20313666,680000,3,135,1,1,1,3,4,166,1,0,0,0
251,20313665,295000,2,105,1,1,0,6,0,166,0,3,0,0
252,20313664,325000,2,145,1,1,0,1,2,735,0,3,6,2
253,20313663,220000,1,72,1,1,0,1,2,719,0,3,6,2
254,20313660,395000,4,123,0,0,0,2,3,4,1,2,2,0
255,20313659,699000,3,101,1,1,0,3,2,535,0,3,5,0
256,20313658,375000,2,92,0,1,0,1,2,234,0,3,6,2
257,20313655,788000,4,380,0,0,0,1,0,232,1,9,5,0
258,20313652,235000,4,123,1,0,0,2,0,2,1,0,4,0
259,20313646,139900,3,107,1,1,0,1,3,582,1,0,1,1
260,20313644,237000,1,90,0,0,0,1,0,450,0,3,4,0
261,20313643,159000,2,67,0,1,0,1,0,663,0,3,5,0
262,20313639,295000,2,83,1,1,0,4,2,346,0,3,6,2
263,20313632,260000,2,90,1,1,0,3,4,412,0,3,10,1
264,20313628,235000,2,125,1,1,1,1,2,759,1,0,3,0
265,20313626,365000,3,101,1,1,0,1,0,400,0,3,0,0
266,20313624,469000,3,145,0,0,0,2,4,464,1,1,2,0
267,20313621,498500,3,365,1,1,0,1,4,415,1,0,2,0
268,20313620,390000,2,96,1,1,0,1,0,400,0,3,0,0
269,20313617,165000,4,229,0,0,1,4,2,153,1,0,10,1
270,20313616,310000,2,81,1,1,0,1,0,400,0,3,0,0
271,20313613,325000,2,86,0,1,0,1,2,44,0,3,3,0
272,20313612,435000,3,132,0,0,0,1,2,44,1,0,3,0
273,20313610,260000,3,120,0,0,0,3,4,558,1,0,1,1
274,20313605,849000,5,375,1,0,1,1,2,44,1,9,3,0
275,20313604,409000,3,190,1,1,1,1,2,480,1,0,3,0
276,20313602,225000,2,150,1,1,1,1,0,711,0,3,4,0
277,20313601,180000,0,78,1,1,1,6,2,571,0,10,9,1
278,20313600,149000,3,152,0,1,1,4,2,106,1,4,10,1
279,20313597,255000,3,173,1,1,0,4,0,2,1,0,4,0
280,20313590,355000,2,91,1,1,0,1,0,400,0,3,0,0
281,20313585,519000,6,273,0,0,0,1,0,292,0,3,0,0
282,20313584,225000,2,93,1,1,0,2,2,615,0,3,3,0
283,20313566,340000,2,117,1,0,1,4,3,798,1,0,0,0
284,20313554,380000,2,99,1,1,0,1,0,400,0,3,0,0
285,20313521,355000,3,101,1,1,0,1,0,400,0,3,0,0
286,20313510,469000,3,140,0,0,0,6,0,180,0,3,5,0
287,20313497,370000,2,100,1,1,0,1,0,400,0,3,0,0
288,20313496,419000,3,163,1,1,0,2,0,15,1,0,2,0
289,20313479,367000,1,113,0,0,0,3,4,232,1,0,5,0
290,20313468,439000,3,150,0,1,0,2,3,293,1,0,0,0
291,20313462,145000,2,131,0,0,0,2,2,79,0,3,8,1
292,20313422,399000,2,112,1,0,0,3,2,346,0,3,6,2
293,20313383,400000,4,280,1,1,0,1,4,628,1,1,1,1
294,20313375,230000,1,60,0,0,0,2,2,730,0,3,6,2
295,20313371,193000,3,123,0,1,0,1,3,239,1,0,2,0
296,20313370,249000,3,134,0,1,0,1,4,210,1,0,2,0
297,20313368,309000,3,140,1,1,1,1,3,412,1,0,10,1
298,20313367,479000,2,150,0,1,0,1,3,655,0,3,3,0
299,20313366,209000,3,124,0,0,0,5,2,178,0,3,3,0
300,20313363,390000,4,210,0,1,0,2,0,727,0,10,0,0
301,20313361,245000,3,118,1,1,0,1,3,793,0,3,3,0
302,20313360,529000,3,139,1,1,1,3,2,400,1,0,0,0
303,20313357,485000,3,200,1,0,0,1,2,544,1,2,5,0
304,20313353,795000,5,280,1,1,0,3,2,737,0,10,6,2
305,20313350,350000,3,145,1,1,1,3,2,594,1,0,2,0
306,20313349,275000,2,131,0,0,0,1,4,52,1,0,3,0
307,20313347,390000,4,146,0,0,0,4,4,651,1,0,2,0
308,20313346,220000,1,45,1,0,0,1,2,145,0,3,3,0
309,20313345,425000,3,123,0,0,0,4,4,191,1,0,2,0
310,20313344,199000,2,65,1,0,0,1,2,568,1,0,2,0
311,20313343,895000,2,85,1,1,0,3,2,535,0,3,5,0
312,20313342,200000,3,220,1,1,0,4,3,215,1,2,1,1
313,20313341,379000,3,160,1,1,0,3,4,150,1,0,0,0
314,20313340,485000,1,76,1,1,0,3,0,781,0,8,9,1
